,size,db,task,method,trial,fold,score,scorer,selection,X_shape,Type,imputation_WCT,tuning_WCT,imputation_PT,tuning_PT
31,2500,MIMIC,hemo_pvals,Iter+mask,1,1,0.7777363240433529,roc_auc_score,ANOVA,"(30836, 100)",Classification,6.562545,124.99193600000001,209.93902599999998,3994.890011
32,2500,MIMIC,hemo_pvals,Iter+mask,1,2,0.7775838283832655,roc_auc_score,ANOVA,"(30836, 100)",Classification,9.156661999999999,124.34867,292.776825,3977.7711990000003
33,2500,MIMIC,hemo_pvals,Iter+mask,1,3,0.7722047964070745,roc_auc_score,ANOVA,"(30836, 100)",Classification,8.632641,119.05643700000002,275.457467,3805.267221
34,2500,MIMIC,hemo_pvals,Iter+mask,1,4,0.7879501243396277,roc_auc_score,ANOVA,"(30836, 100)",Classification,9.375973,118.296125,299.972817,3784.5815369999996
35,2500,MIMIC,hemo_pvals,Iter+mask,2,0,0.7428484756690887,roc_auc_score,ANOVA,"(30836, 100)",Classification,5.709359,136.995781,181.401865,4383.404222
36,2500,MIMIC,hemo_pvals,Iter+mask,2,1,0.7577153785443699,roc_auc_score,ANOVA,"(30836, 100)",Classification,12.29141,128.21458700000002,393.14139500000005,4098.7445960000005
37,2500,MIMIC,hemo_pvals,Iter+mask,2,2,0.7439042945177077,roc_auc_score,ANOVA,"(30836, 100)",Classification,9.101659,122.47747199999999,291.148236,3918.8801869999998
38,2500,MIMIC,hemo_pvals,Iter+mask,2,3,0.7683110221049665,roc_auc_score,ANOVA,"(30836, 100)",Classification,9.389085000000001,123.619616,300.441009,3951.571761
39,2500,MIMIC,hemo_pvals,Iter+mask,2,4,0.7416159965962486,roc_auc_score,ANOVA,"(30836, 100)",Classification,9.966894,122.416183,318.03963500000003,3916.736821
40,2500,MIMIC,hemo_pvals,Iter+mask,3,0,0.7587580794867446,roc_auc_score,ANOVA,"(30836, 100)",Classification,9.402208,130.782036,299.49865800000003,4184.3539439999995
41,2500,MIMIC,hemo_pvals,Iter+mask,3,1,0.7745259322451512,roc_auc_score,ANOVA,"(30836, 100)",Classification,3.722839,119.15803799999999,119.02808300000001,3808.9552689999996
42,2500,MIMIC,hemo_pvals,Iter+mask,3,2,0.749271157909817,roc_auc_score,ANOVA,"(30836, 100)",Classification,14.9105,121.74243899999999,477.10228,3895.188654
43,2500,MIMIC,hemo_pvals,Iter+mask,3,3,0.7628039179388663,roc_auc_score,ANOVA,"(30836, 100)",Classification,7.70898,123.953919,246.56840099999997,3962.354665
44,2500,MIMIC,hemo_pvals,Iter+mask,3,4,0.7904039063743962,roc_auc_score,ANOVA,"(30836, 100)",Classification,5.539072,118.84683600000001,176.569323,3802.097381
45,2500,MIMIC,hemo_pvals,Iter+mask,4,0,0.803751850638829,roc_auc_score,ANOVA,"(30836, 100)",Classification,12.502719,119.52678200000001,398.491288,3824.2795929999997
46,2500,MIMIC,hemo_pvals,Iter+mask,4,1,0.7893176660655732,roc_auc_score,ANOVA,"(30836, 100)",Classification,13.611325,124.94670500000001,435.435481,3993.4599299999995
47,2500,MIMIC,hemo_pvals,Iter+mask,4,2,0.7635247123661726,roc_auc_score,ANOVA,"(30836, 100)",Classification,6.747389,122.65136799999999,215.87589,3924.4567509999997
48,2500,MIMIC,hemo_pvals,Iter+mask,4,3,0.7876789202582328,roc_auc_score,ANOVA,"(30836, 100)",Classification,7.5136449999999995,124.24338600000002,240.383526,3971.5095100000003
