47-0.0,2.0407901499513335e-147
68-0.0,0.3669897203068926
102-0.0,5.077894144119251e-06
129-0.0,2.9830791617503063e-12
130-0.0,1.0066249773923179e-13
699-0.0,2.8666767607444437e-06
709-0.0,0.0009328728162568199
757-0.0,0.00013723606989117453
767-0.0,9.107051270089026e-16
777-0.0,6.614569351820202e-52
1050-0.0,1.4891467390058602e-138
1060-0.0,1.076635124010502e-227
1070-0.0,9.077516159843131e-218
1080-0.0,1.1948355652287992e-27
1090-0.0,3.0952838268855365e-270
1160-0.0,1.4289176399650005e-05
1269-0.0,0.25076485361722745
1279-0.0,8.56613206549193e-21
1289-0.0,2.5273274607157374e-08
1299-0.0,8.14156832820536e-48
1309-0.0,1.0511360168184253e-13
1319-0.0,5.383558092732547e-49
1438-0.0,4.130774728284616e-28
1458-0.0,8.937624237465113e-24
1488-0.0,2.39508003448833e-42
1498-0.0,2.998851747757823e-05
1528-0.0,2.091496829748179e-45
1568-0.0,1.694894587544251e-83
1578-0.0,1.396515213216499e-34
1588-0.0,1.6284827480310535e-27
1598-0.0,4.278483390120307e-16
1608-0.0,0.1208884600285324
1737-0.0,2.5478539302661858e-43
1807-0.0,4.587392081193361e-78
2139-0.0,1.1734153789955091e-73
2149-0.0,0.12107220761127555
2277-0.0,1.008971561123378e-09
2867-0.0,1.5114188169713918e-14
2897-0.0,2.5142837760548208e-18
3061-0.0,4.2014674794569215e-09
3581-0.0,1.3252525768878634e-07
3659-0.0,0.04877642588218021
3669-0.0,0.35736777969351785
3680-0.0,6.278574338507051e-10
3700-0.0,0.6904004131536827
3710-0.0,0.4106975961486416
3972-0.0,0.26688549980506715
3982-0.0,0.2636916245808032
4079-0.0,8.744322220230884e-05
4080-0.0,2.0903201865368387e-15
4198-0.0,1.689567636829647e-58
4199-0.0,1.1543058741945106e-06
4200-0.0,2.6170552280186558e-37
4250-0.0,
4260-0.0,
4269-0.0,2.2297553801283307e-07
4272-0.0,0.0
4279-0.0,0.0
4282-0.0,0.0
4288-0.0,3.644364755877237e-291
4290-0.0,0.0
4291-0.0,0.0
4407-0.0,6.526645689438133e-10
4418-0.0,1.0695569521040528e-10
4429-0.0,0.9894884253037688
4440-0.0,0.0019729569591333024
4451-0.0,0.001486278696363933
4462-0.0,0.1093440622592953
5057-0.0,2.6756818140254644e-247
5077-0.0,1.1928503042173527e-35
5088-0.0,0.2456559266455086
5089-0.0,0.5136503544067256
5100-0.0,0.017166910343534555
5101-0.0,0.92561955761317
5102-0.0,0.000839482973122191
5107-0.0,0.026996752511290276
5108-0.0,0.13484630259057356
5109-0.0,0.04652488975088481
5110-0.0,0.4215024043887199
5111-0.0,0.438502123832804
5112-0.0,0.062047146807017874
5188-0.0,6.245386961689428e-32
5200-0.0,0.06016036352950314
5202-0.0,0.0005248652746523571
5207-0.0,0.00031035951232524886
5209-0.0,4.2733200444087993e-10
5221-0.0,0.6864165284647206
5237-0.0,1.4175926772982529e-05
5251-0.0,8.378303548868434e-09
6032-0.0,1.47271172412459e-94
6038-0.0,1.662233325013273e-77
6039-0.0,2.8181234686012943e-58
6071-0.0,1.8109573542942898e-25
6218-0.0,
6219-0.0,
6220-0.0,
6221-0.0,
6222-0.0,
10141-0.0,
10147-0.0,
10241-0.0,
10609-0.0,
10612-0.0,
10717-0.0,
20077-0.0,1.5844698495198173e-280
20081-0.0,0.0014175896191309342
